Name,Score
Nick1409,12
seb #1 mod,11
Ankle Lover,11
ADura,11
Joey,11
Purpledogs12 ,11
Thioplo,11
blasterzz (Dante),11
AP,11
Ven,10
TotallyNotAlex,10
Freedent8,9
Chites34,9
Phrog,9
Smalik456,9
Dank,9
nickmolyvia,9
CharismaticCharlieWade,9
Justin,9
spidaburner,9
fulcrum,9
Aura.02,9
AJ,9
Bixcuitt,9
Record,8
dannyboy7028,8
TheAirDownHere,8
HEEM_OCHO,8
Brophy ,8
bdog,8
Bearsfury,8
LaMar,8
Stint,7
Zanal,7
Remmy,5
nan,0
